IPO Name: Bikaji Foods International Ltd. IPO, Issue Size: 0.0, Price: 300.0, Status: listed, Scraped At: 2026-01-05 07:25:35.276261
IPO Name: Five-Star Business Finance Ltd. IPO, Issue Size: 0.0, Price: 474.0, Status: listed, Scraped At: 2026-01-05 07:25:35.275836
IPO Name: Archean Chemical Industries Ltd. IPO, Issue Size: 0.0, Price: 407.0, Status: listed, Scraped At: 2026-01-05 07:25:35.275387
IPO Name: Kaynes Technology India Ltd. IPO, Issue Size: 0.0, Price: 587.0, Status: listed, Scraped At: 2026-01-05 07:25:35.274157
IPO Name: Inox Green Energy Services Ltd. IPO, Issue Size: 0.0, Price: 65.0, Status: listed, Scraped At: 2026-01-05 07:25:35.262631
IPO Name: Keystone Realtors Ltd. IPO, Issue Size: 0.0, Price: 541.0, Status: listed, Scraped At: 2026-01-05 07:25:35.262310
IPO Name: AMBO Agritec Ltd. IPO, Issue Size: 0.0, Price: 30.0, Status: listed, Scraped At: 2026-01-05 07:25:24.357495
IPO Name: Pritika Engineering Components Ltd. IPO, Issue Size: 0.0, Price: 29.0, Status: listed, Scraped At: 2026-01-05 07:25:24.357138
IPO Name: Baheti Recycling Industries Ltd. IPO, Issue Size: 0.0, Price: 45.0, Status: listed, Scraped At: 2026-01-05 07:25:24.356781
IPO Name: Dharmaj Crop Guard Ltd. IPO, Issue Size: 0.0, Price: 237.0, Status: listed, Scraped At: 2026-01-05 07:25:24.356417
IPO Name: Uniparts India Ltd. IPO, Issue Size: 0.0, Price: 577.0, Status: listed, Scraped At: 2026-01-05 07:25:24.356039
IPO Name: Arham Technologies Ltd. IPO, Issue Size: 0.0, Price: 42.0, Status: listed, Scraped At: 2026-01-05 07:25:24.355672
IPO Name: PNGS Gargi Fashion Jewellery Ltd. IPO, Issue Size: 0.0, Price: 30.0, Status: listed, Scraped At: 2026-01-05 07:25:24.355307
IPO Name: All E Technologies Ltd. IPO, Issue Size: 0.0, Price: 90.0, Status: listed, Scraped At: 2026-01-05 07:25:24.354932
IPO Name: Sula Vineyards Ltd. IPO, Issue Size: 0.0, Price: 357.0, Status: listed, Scraped At: 2026-01-05 07:25:24.354569
IPO Name: Abans Holdings Ltd. IPO, Issue Size: 0.0, Price: 270.0, Status: listed, Scraped At: 2026-01-05 07:25:24.354226
IPO Name: Droneacharya Aerial Innovations Ltd. IPO, Issue Size: 0.0, Price: 54.0, Status: listed, Scraped At: 2026-01-05 07:25:24.353878
IPO Name: Landmark Cars Ltd. IPO, Issue Size: 0.0, Price: 506.0, Status: listed, Scraped At: 2026-01-05 07:25:24.353534
IPO Name: Dollex Agrotech Ltd. IPO, Issue Size: 0.0, Price: 35.0, Status: listed, Scraped At: 2026-01-05 07:25:24.353149
IPO Name: Uma Converter Ltd. IPO, Issue Size: 0.0, Price: 33.0, Status: listed, Scraped At: 2026-01-05 07:25:24.352749
IPO Name: Arihant Academy Ltd. IPO, Issue Size: 0.0, Price: 90.0, Status: listed, Scraped At: 2026-01-05 07:25:24.352072
IPO Name: KFin Technologies Ltd. IPO, Issue Size: 0.0, Price: 366.0, Status: listed, Scraped At: 2026-01-05 07:25:24.342478
IPO Name: Elin Electronics Ltd. IPO, Issue Size: 0.0, Price: 247.0, Status: listed, Scraped At: 2026-01-05 07:25:24.342095
IPO Name: Moxsh Overseas Educon Ltd. IPO, Issue Size: 0.0, Price: 153.0, Status: listed, Scraped At: 2026-01-05 07:25:24.341735
IPO Name: Homesfy Realty Ltd. IPO, Issue Size: 0.0, Price: 197.0, Status: listed, Scraped At: 2026-01-05 07:25:24.341379
IPO Name: RBM Infracon Ltd. IPO, Issue Size: 0.0, Price: 36.0, Status: listed, Scraped At: 2026-01-05 07:25:24.340999
IPO Name: Radiant Cash Management Services Ltd. IPO, Issue Size: 0.0, Price: 94.0, Status: listed, Scraped At: 2026-01-05 07:25:24.340639
IPO Name: Anlon Technology Solutions Ltd. IPO, Issue Size: 0.0, Price: 100.0, Status: listed, Scraped At: 2026-01-05 07:25:24.340223
IPO Name: Rex Sealing & Packing Industries Ltd. IPO, Issue Size: 0.0, Price: 135.0, Status: listed, Scraped At: 2026-01-05 07:25:24.339838
IPO Name: SVS Ventures Ltd. IPO, Issue Size: 0.0, Price: 20.0, Status: listed, Scraped At: 2026-01-05 07:25:24.339457
IPO Name: Sah Polymers Ltd. IPO, Issue Size: 0.0, Price: 65.0, Status: listed, Scraped At: 2026-01-05 07:25:24.339039
IPO Name: Deepak Chemtex Ltd. IPO, Issue Size: 0.0, Price: 80.0, Status: listed, Scraped At: 2026-01-05 07:25:11.479670
IPO Name: Net Avenue Technologies Ltd. IPO, Issue Size: 0.0, Price: 18.0, Status: listed, Scraped At: 2026-01-05 07:25:11.479275
IPO Name: Marinetrans India Ltd. IPO, Issue Size: 0.0, Price: 26.0, Status: listed, Scraped At: 2026-01-05 07:25:11.478690
IPO Name: Graphisads Ltd. IPO, Issue Size: 0.0, Price: 111.0, Status: listed, Scraped At: 2026-01-05 07:25:11.478063
IPO Name: Sheetal Universal Ltd. IPO, Issue Size: 0.0, Price: 70.0, Status: listed, Scraped At: 2026-01-05 07:25:11.477286
IPO Name: Accent Microcell Ltd. IPO, Issue Size: 0.0, Price: 140.0, Status: listed, Scraped At: 2026-01-05 07:25:11.476642
IPO Name: Presstonic Engineering Ltd. IPO, Issue Size: 0.0, Price: 72.0, Status: listed, Scraped At: 2026-01-05 07:25:11.476080
IPO Name: S J Logistics (India) Ltd. IPO, Issue Size: 0.0, Price: 125.0, Status: listed, Scraped At: 2026-01-05 07:25:11.475708
IPO Name: Valiant Laboratories Ltd. IPO, Issue Size: 0.0, Price: 140.0, Status: listed, Scraped At: 2026-01-05 07:24:54.460788
IPO Name: Plaza Wires Ltd. IPO, Issue Size: 0.0, Price: 54.0, Status: listed, Scraped At: 2026-01-05 07:24:54.460066
IPO Name: IRM Energy Ltd. IPO, Issue Size: 0.0, Price: 505.0, Status: listed, Scraped At: 2026-01-05 07:24:54.459617
IPO Name: Blue Jet Healthcare Ltd. IPO, Issue Size: 0.0, Price: 346.0, Status: listed, Scraped At: 2026-01-05 07:24:54.459042
IPO Name: Cello World Ltd. IPO, Issue Size: 0.0, Price: 648.0, Status: listed, Scraped At: 2026-01-05 07:24:54.458442
IPO Name: Honasa Consumer Ltd. IPO, Issue Size: 0.0, Price: 324.0, Status: listed, Scraped At: 2026-01-05 07:24:54.457980
IPO Name: ESAF Small Finance Bank Ltd. IPO, Issue Size: 0.0, Price: 60.0, Status: listed, Scraped At: 2026-01-05 07:24:54.457497
IPO Name: Protean eGov Technologies Ltd. IPO, Issue Size: 0.0, Price: 792.0, Status: listed, Scraped At: 2026-01-05 07:24:54.442680
IPO Name: ASK Automotive Ltd. IPO, Issue Size: 0.0, Price: 282.0, Status: listed, Scraped At: 2026-01-05 07:24:54.442300
IPO Name: Indian Renewable Energy Development Agency Ltd. IPO (IREDA IPO), Issue Size: 0.0, Price: 32.0, Status: listed, Scraped At: 2026-01-05 07:24:54.441904
IPO Name: Gandhar Oil Refinery (India) Ltd. IPO, Issue Size: 0.0, Price: 169.0, Status: listed, Scraped At: 2026-01-05 07:24:54.441484
IPO Name: Fedbank Financial Services Ltd. IPO, Issue Size: 0.0, Price: 140.0, Status: listed, Scraped At: 2026-01-05 07:24:54.440885
IPO Name: Flair Writing Industries Ltd. IPO, Issue Size: 0.0, Price: 304.0, Status: listed, Scraped At: 2026-01-05 07:24:54.440374
IPO Name: Tata Technologies Ltd. IPO, Issue Size: 0.0, Price: 500.0, Status: listed, Scraped At: 2026-01-05 07:24:54.439789
IPO Name: India Shelter Finance Corp.Ltd. IPO, Issue Size: 0.0, Price: 493.0, Status: listed, Scraped At: 2026-01-05 07:24:54.439119
IPO Name: DOMS Industries Ltd. IPO, Issue Size: 0.0, Price: 790.0, Status: listed, Scraped At: 2026-01-05 07:24:54.438656
IPO Name: Inox India Ltd. IPO, Issue Size: 0.0, Price: 660.0, Status: listed, Scraped At: 2026-01-05 07:24:54.438178
IPO Name: Shree OSFM E-Mobility Ltd. IPO, Issue Size: 0.0, Price: 65.0, Status: listed, Scraped At: 2026-01-05 07:24:43.314221
IPO Name: Siyaram Recycling Industries Ltd. IPO, Issue Size: 0.0, Price: 46.0, Status: listed, Scraped At: 2026-01-05 07:24:43.313943
IPO Name: Benchmark Computer Solutions Ltd. IPO, Issue Size: 0.0, Price: 66.0, Status: listed, Scraped At: 2026-01-05 07:24:43.313673
IPO Name: Sahara Maritime Ltd. IPO, Issue Size: 0.0, Price: 81.0, Status: listed, Scraped At: 2026-01-05 07:24:43.313378
IPO Name: Suraj Estate Developers Ltd. IPO, Issue Size: 0.0, Price: 360.0, Status: listed, Scraped At: 2026-01-05 07:24:43.312966
IPO Name: Motisons Jewellers Ltd. IPO, Issue Size: 0.0, Price: 55.0, Status: listed, Scraped At: 2026-01-05 07:24:43.312502
IPO Name: Muthoot Microfin Ltd. IPO, Issue Size: 0.0, Price: 291.0, Status: listed, Scraped At: 2026-01-05 07:24:43.311331
IPO Name: Electro Force (India) Ltd. IPO, Issue Size: 0.0, Price: 93.0, Status: listed, Scraped At: 2026-01-05 07:24:43.310892
IPO Name: Credo Brands Marketing Ltd. IPO, Issue Size: 0.0, Price: 280.0, Status: listed, Scraped At: 2026-01-05 07:24:43.310546
